"fixed.acidity","volatile.acidity","citric.acidity","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","country"
7.1,0.59,0,2.1,0.091,9,14,0.99488,3.42,0.55,11.5,7,"Germany"
7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,6,"Argentina"
8.4,0.52,0.22,2.7,0.084,4,18,0.99682,3.26,0.57,9.9,6,"Germany"
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6,"Argentina"
5.7,0.33,0.32,1.4,0.043,28,93,0.9897,3.31,0.5,12.3,6,"Australia"
7.8,0.39,0.26,9.9,0.059,33,181,0.9955,3.04,0.42,10.9,6,"Argentina"
6.2,0.46,0.17,1.6,0.073,7,11,0.99425,3.61,0.54,11.4,5,"Germany"
6.5,0.26,0.31,3.6,0.03,36,92,0.99026,3.22,0.62,12.6,8,"Argentina"
7.6,0.41,0.33,2.5,0.078,6,23,0.9957,3.3,0.58,11.2,5,"Germany"
6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,6,"Chile"
8,0.45,0.28,10.8,0.051,25,157,0.9957,3.06,0.47,11.4,7,"Argentina"
5.8,0.28,0.3,3.9,0.026,36,105,0.98963,3.26,0.58,12.75,6,"Australia"
7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,6,"Germany"
7.3,0.22,0.31,2.3,0.018,45,80,0.98936,3.06,0.34,12.9,7,"Australia"
7.2,0.31,0.26,7.3,0.05,37,157,0.99625,3.09,0.43,9,5,"Argentina"
7,0.38,0.49,2.5,0.097,33,85,0.9962,3.39,0.77,11.4,6,"Chile"
8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,6,"Germany"
10,0.42,0.5,3.4,0.107,7,21,0.9979,3.26,0.93,11.8,6,"Germany"
10,0.38,0.38,1.6,0.169,27,90,0.99914,3.15,0.65,8.5,5,"Germany"
8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6,"Germany"
7.2,0.24,0.4,17.85,0.049,50,185,1,3.34,0.42,9.6,5,"Argentina"
6,0.17,0.33,6,0.036,30,111,0.99362,3.32,0.58,10.1333333333333,7,"Argentina"
11.8,0.33,0.49,3.4,0.093,54,80,1.0002,3.3,0.76,10.7,7,"Chile"
12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,7,"Chile"
7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9,6,"Australia"
9.6,0.42,0.35,2.1,0.083,17,38,0.99622,3.23,0.66,11.1,6,"Chile"
7.9,0.22,0.49,3.8,0.042,26,105,0.993,3.1,0.39,10.5,5,"Australia"
8.8,0.27,0.46,2.1,0.095,20,29,0.99488,3.26,0.56,11.3,6,"Germany"
6.7,0.31,0.34,6.8,0.059,51,215,0.99538,3.33,0.56,10.3,5,"Argentina"
6.2,0.2,0.31,1,0.031,22,73,0.99035,3.24,0.52,11.3,6,"Australia"
5.9,0.42,0.36,2.4,0.034,19,77,0.99184,3.25,0.48,10.9,5,"Argentina"
6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5,"Chile"
5.8,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5,"Australia"
6.9,0.26,0.27,4.2,0.031,20,80,0.99089,3.12,0.39,11.5,6,"Australia"
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6,"Germany"
6.2,0.33,0.41,16.8,0.037,58,173,0.99882,3.25,0.57,9.4,6,"Argentina"
6.4,0.17,0.27,9.9,0.047,26,101,0.99596,3.34,0.5,9.9,6,"Argentina"
7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,5,"Germany"
6.8,0.62,0.08,1.9,0.068,28,38,0.99651,3.42,0.82,9.5,6,"Germany"
9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,4,"Chile"
7.3,0.24,0.39,3.6,0.024,35,116,0.9928,3.17,0.51,10.9,5,"Australia"
7,0.12,0.29,10.3,0.039,41,98,0.99564,3.19,0.38,9.8,8,"Argentina"
7.3,0.32,0.23,2.3,0.066,35,70,0.99588,3.43,0.62,10.1,5,"Chile"
6.6,0.5,0,1.8,0.062,21,28,0.99352,3.44,0.55,12.3,6,"Germany"
7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,8,"Germany"
7.1,0.36,0.28,2.4,0.036,35,115,0.98936,3.19,0.44,13.5,7,"Australia"
6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,5,"Argentina"
7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9,5,"Argentina"
6.1,0.24,0.27,9.8,0.062,33,152,0.9966,3.31,0.47,9.5,6,"Argentina"
7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,6,"Germany"
6.4,0.18,0.48,18,0.054,56,183,1.00038,2.98,0.61,8.5,6,"Argentina"
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6,"Germany"
7.2,0.45,0.15,2,0.078,10,28,0.99609,3.29,0.51,9.9,6,"Chile"
5.9,0.34,0.3,3.8,0.035,57,135,0.99016,3.09,0.34,12,6,"Australia"
6.9,0.16,0.35,1.3,0.043,21,182,0.9927,3.25,0.62,10.8,6,"Argentina"
7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,6,"Australia"
7.6,0.43,0.4,2.7,0.082,6,11,0.99538,3.44,0.54,12.2,6,"Chile"
6.9,0.615,0.42,12,0.067,24,131,0.99727,3.19,0.34,9.3,5,"Australia"
5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6,"Australia"
7.4,0.27,0.49,1.1,0.037,33,156,0.992,3.15,0.54,11.1,6,"Australia"
6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,6,"Chile"
7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,5,"Argentina"
6.7,0.7,0.08,3.75,0.067,8,16,0.99334,3.43,0.52,12.6,5,"Chile"
5,0.38,0.01,1.6,0.048,26,60,0.99084,3.7,0.75,14,6,"Germany"
5.1,0.25,0.36,1.3,0.035,40,78,0.9891,3.23,0.64,12.1,7,"Australia"
11.6,0.47,0.44,1.6,0.147,36,51,0.99836,3.38,0.86,9.9,4,"Germany"
8.7,0.31,0.73,14.35,0.044,27,191,1.00013,2.96,0.88,8.7,5,"Australia"
6.9,0.22,0.43,6.4,0.042,34,115,0.99293,3.05,0.51,10.8,6,"Argentina"
6.6,0.16,0.25,9.8,0.049,59.5,137,0.995,3.16,0.38,10,6,"Australia"
6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5,"Germany"
12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,5,"Germany"
7.3,0.32,0.25,7.2,0.056,47,180,0.9961,3.08,0.47,8.8,5,"Argentina"
8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,0.8,11.2,5,"Chile"
9.6,0.38,0.31,2.5,0.096,16,49,0.9982,3.19,0.7,10,7,"Chile"
6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,6,"Australia"
7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,6,"Australia"
7.4,0.29,0.5,1.8,0.042,35,127,0.9937,3.45,0.5,10.2,7,"Argentina"
6.8,0.48,0.25,2,0.076,29,61,0.9953,3.34,0.6,10.4,5,"Chile"
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7,"Chile"
7.6,0.14,0.74,1.6,0.04,27,103,0.9916,3.07,0.4,10.8,7,"Argentina"
5.8,0.385,0.25,3.7,0.031,38,122,0.99128,3.2,0.63,11.2,6,"Argentina"
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,"Chile"
6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1,6,"Germany"
7,0.24,0.36,2.8,0.034,22,112,0.99,3.19,0.38,12.6,8,"Argentina"
9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,7,"Germany"
11.1,0.45,0.73,3.2,0.066,6,22,0.9986,3.17,0.66,11.2,6,"Germany"
5.6,0.605,0.05,2.4,0.073,19,25,0.99258,3.56,0.55,12.9,5,"Germany"
6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6,"Germany"
7.2,0.635,0.07,2.6,0.077,16,86,0.99748,3.51,0.54,9.7,5,"Chile"
8.3,0.21,0.58,17.1,0.049,62,213,1.0006,3.01,0.51,9.3,6,"Argentina"
7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6,"Chile"
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6,"Germany"
8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,6,"Argentina"
5.9,0.445,0.26,1.4,0.027,23,109,0.99148,3.3,0.36,10.5,6,"Australia"
10.2,0.33,0.46,1.9,0.081,6,9,0.99628,3.1,0.48,10.4,6,"Germany"
9.4,0.33,0.59,2.8,0.079,9,30,0.9976,3.12,0.54,12,6,"Germany"
8.8,0.685,0.26,1.6,0.088,16,23,0.99694,3.32,0.47,9.4,5,"Germany"
7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,5,"Chile"
8.4,1.035,0.15,6,0.073,11,54,0.999,3.37,0.49,9.9,5,"Germany"
7.8,0.21,0.27,1.2,0.051,20,89,0.9936,3.06,0.46,9.1,5,"Australia"
7.1,0.27,0.24,12.6,0.044,48,118,0.99726,3.04,0.56,10,7,"Australia"
9.1,0.3,0.34,2,0.064,12,25,0.99516,3.26,0.84,11.7,7,"Chile"
8,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9,5,"Chile"
8,0.6,0.08,2.6,0.056,3,7,0.99286,3.22,0.37,13,5,"Germany"
8,0.42,0.32,2.5,0.08,26,122,0.99801,3.22,1.07,9.7,5,"Germany"
7.9,0.37,0.3,2.7,0.029,64,158,0.9916,3.12,0.59,12,7,"Argentina"
6.5,0.41,0.22,4.8,0.052,49,142,0.9946,3.14,0.62,9.2,5,"Australia"
15.9,0.36,0.65,7.5,0.096,22,71,0.9976,2.98,0.84,14.9,5,"Chile"
4.8,0.13,0.32,1.2,0.042,40,98,0.9898,3.42,0.64,11.8,7,"Argentina"
6.3,0.23,0.31,1.5,0.022,11,82,0.9892,3.3,0.4,12.9,7,"Argentina"
9.9,0.54,0.26,2,0.111,7,60,0.99709,2.94,0.98,10.2,5,"Chile"
9,0.8,0.12,2.4,0.083,8,28,0.99836,3.33,0.65,10.4,6,"Chile"
9,0.58,0.25,2.8,0.075,9,104,0.99779,3.23,0.57,9.7,5,"Germany"
7.4,0.41,0.24,1.8,0.066,18,47,0.9956,3.37,0.62,10.4,5,"Germany"
7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5,"Germany"
6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5,"Germany"
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7,"Australia"
7.8,0.48,0.68,1.7,0.415,14,32,0.99656,3.09,1.06,9.1,6,"Chile"
7.9,0.16,0.64,17,0.05,69,210,1.0004,3.15,0.51,9.3,7,"Australia"
7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,6,"Argentina"
6.9,0.25,0.35,1.3,0.039,29,191,0.9908,3.13,0.52,11,6,"Australia"
6,0.17,0.29,5,0.028,25,108,0.99076,3.14,0.34,12.3,6,"Argentina"
6.4,0.47,0.4,2.4,0.071,8,19,0.9963,3.56,0.73,10.6,6,"Germany"
6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6,"Australia"
6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5,6,"Chile"
9.2,0.25,0.34,1.2,0.026,31,93,0.9916,2.93,0.37,11.3,7,"Argentina"
7.3,0.32,0.35,1.4,0.05,8,163,0.99244,3.24,0.42,10.7,5,"Argentina"
6.4,0.32,0.23,16.2,0.055,36,176,0.9986,3.26,0.54,9.1,5,"Argentina"
5.1,0.165,0.22,5.7,0.047,42,146,0.9934,3.18,0.55,9.9,6,"Australia"
9.2,0.41,0.5,2.5,0.055,12,25,0.9952,3.34,0.79,13.3,7,"Germany"
8.2,0.915,0.27,2.1,0.088,7,23,0.9962,3.26,0.47,10,4,"Germany"
6.3,0.27,0.37,7.9,0.047,58,215,0.99542,3.19,0.48,9.5,6,"Argentina"
7.3,0.34,0.33,2.5,0.064,21,37,0.9952,3.35,0.77,12.1,7,"Chile"
10.3,0.27,0.56,1.4,0.047,3,8,0.99471,3.16,0.51,11.8,6,"Chile"
7.7,0.915,0.12,2.2,0.143,7,23,0.9964,3.35,0.65,10.2,7,"Chile"
10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,6,"Chile"
6.6,0.285,0.49,11.4,0.035,57,137,0.99732,3.08,0.54,8.9,6,"Australia"
13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,6,"Germany"
7.6,0.15,0.35,4.3,0.051,23,98,0.99422,3.1,0.44,9.5,6,"Australia"
7.4,0.63,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7,6,"Chile"
8.2,0.28,0.42,1.8,0.031,30,93,0.9917,3.09,0.39,11.4,5,"Australia"
7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5,"Australia"
9.5,0.55,0.66,2.3,0.387,12,37,0.9982,3.17,0.67,9.6,5,"Chile"
8.6,0.17,0.28,2.7,0.047,38,150,0.99365,3.1,0.56,10.8,6,"Australia"
6.3,0.22,0.28,2.4,0.042,38,102,0.98998,3.14,0.37,11.6,7,"Australia"
7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6,"Germany"
6.5,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6,"Argentina"
6.6,0.28,0.3,7.8,0.049,57,202,0.9958,3.24,0.39,9.5,5,"Argentina"
13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5,6,"Chile"
7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,7,"Argentina"
7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,6,"Germany"
